nm, A
800.000000, -0.000152
799.000000, -0.000037
798.000000, 0.000555
797.000000, 0.000068
796.000000, 0.000095
795.000000, 0.000206
794.000000, 0.000336
793.000000, 0.000744
792.000000, 0.000681
791.000000, 0.000112
790.000000, 0.000242
789.000000, 0.000424
788.000000, 0.000660
787.000000, 0.000383
786.000000, 0.000617
785.000000, 0.000966
784.000000, 0.000400
783.000000, 0.000545
782.000000, 0.000798
781.000000, 0.000724
780.000000, 0.000541
779.000000, 0.000777
778.000000, 0.000529
777.000000, 0.000858
776.000000, 0.000773
775.000000, 0.000623
774.000000, 0.001033
773.000000, 0.000634
772.000000, 0.000564
771.000000, 0.001008
770.000000, 0.000819
769.000000, 0.001094
768.000000, 0.000730
767.000000, 0.000918
766.000000, 0.000955
765.000000, 0.000791
764.000000, 0.000897
763.000000, 0.000997
762.000000, 0.001101
761.000000, 0.000994
760.000000, 0.001072
759.000000, 0.001164
758.000000, 0.001165
757.000000, 0.001223
756.000000, 0.001154
755.000000, 0.001084
754.000000, 0.000898
753.000000, 0.000994
752.000000, 0.000772
751.000000, 0.000798
750.000000, 0.001142
749.000000, 0.000982
748.000000, 0.001139
747.000000, 0.001344
746.000000, 0.001160
745.000000, 0.001119
744.000000, 0.001179
743.000000, 0.001421
742.000000, 0.001455
741.000000, 0.001306
740.000000, 0.001392
739.000000, 0.001353
738.000000, 0.001280
737.000000, 0.001403
736.000000, 0.001188
735.000000, 0.001350
734.000000, 0.001332
733.000000, 0.001412
732.000000, 0.001515
731.000000, 0.001221
730.000000, 0.001319
729.000000, 0.001471
728.000000, 0.001491
727.000000, 0.001463
726.000000, 0.001468
725.000000, 0.001531
724.000000, 0.001348
723.000000, 0.001074
722.000000, 0.001099
721.000000, 0.001372
720.000000, 0.001478
719.000000, 0.001474
718.000000, 0.001333
717.000000, 0.001503
716.000000, 0.001535
715.000000, 0.001340
714.000000, 0.001314
713.000000, 0.001405
712.000000, 0.001425
711.000000, 0.001391
710.000000, 0.001426
709.000000, 0.001525
708.000000, 0.001652
707.000000, 0.001637
706.000000, 0.001560
705.000000, 0.001572
704.000000, 0.001638
703.000000, 0.001681
702.000000, 0.001616
701.000000, 0.001614
700.000000, 0.001657
699.000000, 0.001597
698.000000, 0.001714
697.000000, 0.001746
696.000000, 0.001653
695.000000, 0.001742
694.000000, 0.001804
693.000000, 0.001790
692.000000, 0.001907
691.000000, 0.001958
690.000000, 0.001844
689.000000, 0.001918
688.000000, 0.001898
687.000000, 0.001785
686.000000, 0.001857
685.000000, 0.002008
684.000000, 0.002110
683.000000, 0.002220
682.000000, 0.002059
681.000000, 0.001976
680.000000, 0.002186
679.000000, 0.002206
678.000000, 0.002199
677.000000, 0.002115
676.000000, 0.002103
675.000000, 0.002177
674.000000, 0.002223
673.000000, 0.002265
672.000000, 0.002235
671.000000, 0.002282
670.000000, 0.002137
669.000000, 0.002026
668.000000, 0.002074
667.000000, 0.002158
666.000000, 0.002185
665.000000, 0.002353
664.000000, 0.002349
663.000000, 0.002224
662.000000, 0.002366
661.000000, 0.002345
660.000000, 0.002183
659.000000, 0.002233
658.000000, 0.002169
657.000000, 0.002166
656.000000, 0.002259
655.000000, 0.002350
654.000000, 0.002350
653.000000, 0.002331
652.000000, 0.002248
651.000000, 0.002259
650.000000, 0.002291
649.000000, 0.002264
648.000000, 0.002196
647.000000, 0.002078
646.000000, 0.001980
645.000000, 0.002179
644.000000, 0.002099
643.000000, 0.002309
642.000000, 0.002369
641.000000, 0.002410
640.000000, 0.002332
639.000000, 0.002272
638.000000, 0.002224
637.000000, 0.001994
636.000000, 0.002008
635.000000, 0.002078
634.000000, 0.002177
633.000000, 0.002008
632.000000, 0.001957
631.000000, 0.002015
630.000000, 0.002023
629.000000, 0.002084
628.000000, 0.001935
627.000000, 0.001941
626.000000, 0.001981
625.000000, 0.001991
624.000000, 0.002039
623.000000, 0.002071
622.000000, 0.002133
621.000000, 0.002008
620.000000, 0.002128
619.000000, 0.002272
618.000000, 0.002075
617.000000, 0.001915
616.000000, 0.002035
615.000000, 0.002253
614.000000, 0.002157
613.000000, 0.002296
612.000000, 0.002181
611.000000, 0.002427
610.000000, 0.002456
609.000000, 0.002883
608.000000, 0.002763
607.000000, 0.003042
606.000000, 0.003175
605.000000, 0.003495
604.000000, 0.003815
603.000000, 0.003974
602.000000, 0.004385
601.000000, 0.004811
600.000000, 0.005120
599.000000, 0.005591
598.000000, 0.006360
597.000000, 0.007176
596.000000, 0.008248
595.000000, 0.009390
594.000000, 0.010783
593.000000, 0.012043
592.000000, 0.013945
591.000000, 0.015899
590.000000, 0.018325
589.000000, 0.021159
588.000000, 0.024454
587.000000, 0.028258
586.000000, 0.032470
585.000000, 0.037430
584.000000, 0.043398
583.000000, 0.050211
582.000000, 0.057796
581.000000, 0.066517
580.000000, 0.076470
579.000000, 0.087870
578.000000, 0.100604
577.000000, 0.114937
576.000000, 0.130919
575.000000, 0.147994
574.000000, 0.167235
573.000000, 0.187967
572.000000, 0.210627
571.000000, 0.234850
570.000000, 0.260405
569.000000, 0.286975
568.000000, 0.314820
567.000000, 0.343282
566.000000, 0.372538
565.000000, 0.401680
564.000000, 0.430127
563.000000, 0.457617
562.000000, 0.484533
561.000000, 0.509749
560.000000, 0.531671
559.000000, 0.551172
558.000000, 0.567638
557.000000, 0.580882
556.000000, 0.590922
555.000000, 0.597331
554.000000, 0.600424
553.000000, 0.599952
552.000000, 0.596062
551.000000, 0.589077
550.000000, 0.579777
549.000000, 0.568047
548.000000, 0.554052
547.000000, 0.538421
546.000000, 0.521502
545.000000, 0.503427
544.000000, 0.484374
543.000000, 0.465268
542.000000, 0.446158
541.000000, 0.427029
540.000000, 0.408183
539.000000, 0.390009
538.000000, 0.372599
537.000000, 0.356027
536.000000, 0.340411
535.000000, 0.325784
534.000000, 0.312316
533.000000, 0.300237
532.000000, 0.289108
531.000000, 0.279069
530.000000, 0.270244
529.000000, 0.262585
528.000000, 0.255993
527.000000, 0.250231
526.000000, 0.245112
525.000000, 0.240795
524.000000, 0.237122
523.000000, 0.233815
