nm, A
800.000000, -0.002171
799.000000, -0.001296
798.000000, -0.001311
797.000000, -0.001423
796.000000, -0.001456
795.000000, -0.001161
794.000000, -0.000872
793.000000, -0.000906
792.000000, -0.000894
791.000000, -0.001060
790.000000, -0.001067
789.000000, -0.001012
788.000000, -0.001239
787.000000, -0.001458
786.000000, -0.001183
785.000000, -0.000897
784.000000, -0.001030
783.000000, -0.001074
782.000000, -0.000720
781.000000, -0.000813
780.000000, -0.000867
779.000000, -0.000768
778.000000, -0.000864
777.000000, -0.000787
776.000000, -0.000804
775.000000, -0.000743
774.000000, -0.000625
773.000000, -0.000891
772.000000, -0.000862
771.000000, -0.001003
770.000000, -0.000839
769.000000, -0.000823
768.000000, -0.000936
767.000000, -0.000811
766.000000, -0.000627
765.000000, -0.000795
764.000000, -0.000831
763.000000, -0.000675
762.000000, -0.000668
761.000000, -0.000946
760.000000, -0.000628
759.000000, -0.000608
758.000000, -0.000471
757.000000, -0.000665
756.000000, -0.000545
755.000000, -0.000427
754.000000, -0.000705
753.000000, -0.000624
752.000000, -0.000750
751.000000, -0.000640
750.000000, -0.000445
749.000000, -0.000529
748.000000, -0.000304
747.000000, -0.000424
746.000000, -0.000345
745.000000, -0.000378
744.000000, -0.000255
743.000000, -0.000039
742.000000, -0.000245
741.000000, -0.000343
740.000000, -0.000263
739.000000, -0.000230
738.000000, -0.000345
737.000000, -0.000284
736.000000, -0.000413
735.000000, -0.000236
734.000000, -0.000339
733.000000, -0.000338
732.000000, -0.000485
731.000000, -0.000586
730.000000, -0.000392
729.000000, -0.000228
728.000000, -0.000158
727.000000, -0.000175
726.000000, -0.000097
725.000000, -0.000083
724.000000, -0.000212
723.000000, -0.000472
722.000000, -0.000400
721.000000, -0.000091
720.000000, -0.000159
719.000000, -0.000285
718.000000, -0.000315
717.000000, -0.000177
716.000000, -0.000278
715.000000, -0.000361
714.000000, -0.000200
713.000000, -0.000080
712.000000, -0.000152
711.000000, -0.000221
710.000000, -0.000101
709.000000, -0.000083
708.000000, -0.000133
707.000000, -0.000239
706.000000, -0.000210
705.000000, -0.000104
704.000000, -0.000022
703.000000, 0.000067
702.000000, -0.000018
701.000000, 0.000001
700.000000, 0.000121
699.000000, 0.000084
698.000000, 0.000134
697.000000, 0.000013
696.000000, -0.000079
695.000000, 0.000075
694.000000, 0.000111
693.000000, 0.000066
692.000000, 0.000052
691.000000, 0.000087
690.000000, -0.000012
689.000000, 0.000006
688.000000, 0.000117
687.000000, 0.000036
686.000000, 0.000038
685.000000, 0.000184
684.000000, 0.000334
683.000000, 0.000438
682.000000, 0.000221
681.000000, 0.000180
680.000000, 0.000302
679.000000, 0.000245
678.000000, 0.000274
677.000000, 0.000160
676.000000, 0.000244
675.000000, 0.000273
674.000000, 0.000285
673.000000, 0.000289
672.000000, 0.000226
671.000000, 0.000271
670.000000, 0.000243
669.000000, 0.000084
668.000000, 0.000163
667.000000, 0.000298
666.000000, 0.000358
665.000000, 0.000437
664.000000, 0.000361
663.000000, 0.000386
662.000000, 0.000372
661.000000, 0.000475
660.000000, 0.000309
659.000000, 0.000198
658.000000, 0.000332
657.000000, 0.000463
656.000000, 0.000469
655.000000, 0.000294
654.000000, 0.000304
653.000000, 0.000465
652.000000, 0.000284
651.000000, 0.000279
650.000000, 0.000356
649.000000, 0.000390
648.000000, 0.000226
647.000000, 0.000282
646.000000, 0.000138
645.000000, 0.000038
644.000000, 0.000133
643.000000, 0.000303
642.000000, 0.000362
641.000000, 0.000338
640.000000, 0.000413
639.000000, 0.000431
638.000000, 0.000370
637.000000, 0.000236
636.000000, 0.000090
635.000000, 0.000202
634.000000, 0.000194
633.000000, 0.000089
632.000000, 0.000033
631.000000, 0.000068
630.000000, -0.000030
629.000000, 0.000087
628.000000, 0.000072
627.000000, -0.000012
626.000000, -0.000027
625.000000, 0.000031
624.000000, 0.000110
623.000000, 0.000174
622.000000, 0.000227
621.000000, 0.000113
620.000000, 0.000092
619.000000, 0.000197
618.000000, 0.000109
617.000000, -0.000003
616.000000, 0.000012
615.000000, 0.000067
614.000000, 0.000086
613.000000, 0.000058
612.000000, 0.000001
611.000000, 0.000167
610.000000, 0.000035
609.000000, 0.000361
608.000000, 0.000261
607.000000, 0.000382
606.000000, 0.000456
605.000000, 0.000538
604.000000, 0.000771
603.000000, 0.000916
602.000000, 0.001037
601.000000, 0.001127
600.000000, 0.001067
599.000000, 0.001447
598.000000, 0.001677
597.000000, 0.002067
596.000000, 0.002525
595.000000, 0.002980
594.000000, 0.003582
593.000000, 0.003956
592.000000, 0.004702
591.000000, 0.005303
590.000000, 0.006194
589.000000, 0.007295
588.000000, 0.008729
587.000000, 0.010148
586.000000, 0.011662
585.000000, 0.013556
584.000000, 0.015932
583.000000, 0.018457
582.000000, 0.021224
581.000000, 0.024410
580.000000, 0.028217
579.000000, 0.032495
578.000000, 0.037222
577.000000, 0.042724
576.000000, 0.048735
575.000000, 0.055105
574.000000, 0.062113
573.000000, 0.069755
572.000000, 0.077894
571.000000, 0.086877
570.000000, 0.096151
569.000000, 0.105696
568.000000, 0.115631
567.000000, 0.126133
566.000000, 0.136671
565.000000, 0.146783
564.000000, 0.156861
563.000000, 0.166779
562.000000, 0.176544
561.000000, 0.185493
560.000000, 0.193238
559.000000, 0.200233
558.000000, 0.205896
557.000000, 0.210484
556.000000, 0.214028
555.000000, 0.216040
554.000000, 0.217052
553.000000, 0.216737
552.000000, 0.215134
551.000000, 0.212411
550.000000, 0.208993
549.000000, 0.204637
548.000000, 0.199450
547.000000, 0.193780
546.000000, 0.187569
545.000000, 0.180987
544.000000, 0.174170
543.000000, 0.167225
542.000000, 0.160092
541.000000, 0.152986
540.000000, 0.146074
539.000000, 0.139547
538.000000, 0.133168
537.000000, 0.127106
536.000000, 0.121402
535.000000, 0.115996
534.000000, 0.111106
533.000000, 0.106798
532.000000, 0.102681
531.000000, 0.098898
530.000000, 0.095731
529.000000, 0.092993
528.000000, 0.090535
527.000000, 0.088374
526.000000, 0.086529
525.000000, 0.085092
524.000000, 0.083706
523.000000, 0.082382
522.000000, 0.081224
521.000000, 0.080288
520.000000, 0.079424
519.000000, 0.078427
518.000000, 0.077311
517.000000, 0.076315
516.000000, 0.075160
515.000000, 0.073585
514.000000, 0.072003
513.000000, 0.070367
512.000000, 0.068433
511.000000, 0.066351
510.000000, 0.064204
509.000000, 0.061884
508.000000, 0.059617
507.000000, 0.057269
506.000000, 0.054770
505.000000, 0.052296
504.000000, 0.049753
503.000000, 0.047187
502.000000, 0.044688
501.000000, 0.042417
500.000000, 0.040071
499.000000, 0.037895
498.000000, 0.035776
497.000000, 0.033635
496.000000, 0.031899
495.000000, 0.030111
494.000000, 0.028475
493.000000, 0.026996
492.000000, 0.025516
491.000000, 0.024258
490.000000, 0.023092
489.000000, 0.021981
488.000000, 0.020958
487.000000, 0.019950
486.000000, 0.019093
485.000000, 0.018316
484.000000, 0.017515
483.000000, 0.016780
482.000000, 0.015987
481.000000, 0.015180
480.000000, 0.014606
479.000000, 0.014064
478.000000, 0.013335
477.000000, 0.012710
476.000000, 0.012037
475.000000, 0.011361
474.000000, 0.010769
473.000000, 0.010159
472.000000, 0.009704
471.000000, 0.009202
470.000000, 0.008552
469.000000, 0.007980
468.000000, 0.007474
467.000000, 0.006805
466.000000, 0.006370
465.000000, 0.006110
464.000000, 0.005745
463.000000, 0.005189
462.000000, 0.004960
461.000000, 0.004698
460.000000, 0.004441
459.000000, 0.004062
458.000000, 0.003857
457.000000, 0.003643
456.000000, 0.003391
455.000000, 0.003078
454.000000, 0.002753
453.000000, 0.002621
452.000000, 0.002595
451.000000, 0.002584
450.000000, 0.002438
449.000000, 0.002232
448.000000, 0.002230
447.000000, 0.002260
446.000000, 0.002298
445.000000, 0.002030
444.000000, 0.002205
443.000000, 0.002309
442.000000, 0.002345
441.000000, 0.002426
440.000000, 0.002606
439.000000, 0.002816
438.000000, 0.002891
437.000000, 0.003114
436.000000, 0.003297
435.000000, 0.003491
434.000000, 0.003424
433.000000, 0.003476
432.000000, 0.003771
431.000000, 0.004010
430.000000, 0.004012
429.000000, 0.004312
428.000000, 0.004444
427.000000, 0.004587
426.000000, 0.004820
425.000000, 0.004987
424.000000, 0.004993
423.000000, 0.005241
422.000000, 0.005264
421.000000, 0.005357
420.000000, 0.005495
419.000000, 0.005311
418.000000, 0.005705
417.000000, 0.005762
416.000000, 0.005791
415.000000, 0.005737
414.000000, 0.005733
413.000000, 0.005846
412.000000, 0.005757
411.000000, 0.005885
410.000000, 0.005928
409.000000, 0.006089
408.000000, 0.006078
407.000000, 0.006039
406.000000, 0.006263
405.000000, 0.006385
404.000000, 0.006379
403.000000, 0.006214
402.000000, 0.006478
401.000000, 0.006458
400.000000, 0.006408
399.000000, 0.006468
398.000000, 0.006462
397.000000, 0.006308
396.000000, 0.006356
395.000000, 0.006287
394.000000, 0.006103
393.000000, 0.006115
392.000000, 0.005996
391.000000, 0.005800
390.000000, 0.005569
389.000000, 0.005602
388.000000, 0.005402
387.000000, 0.005289
386.000000, 0.005013
385.000000, 0.004971
384.000000, 0.005172
383.000000, 0.005009
382.000000, 0.004807
381.000000, 0.004872
380.000000, 0.004930
379.000000, 0.004849
378.000000, 0.004910
377.000000, 0.005099
376.000000, 0.005285
375.000000, 0.005217
374.000000, 0.005254
373.000000, 0.005618
372.000000, 0.005737
371.000000, 0.006218
370.000000, 0.006868
369.000000, 0.007286
368.000000, 0.007922
367.000000, 0.008519
366.000000, 0.009147
365.000000, 0.010195
364.000000, 0.011068
363.000000, 0.011880
362.000000, 0.013016
361.000000, 0.013928
360.000000, 0.014609
359.000000, 0.015529
358.000000, 0.016178
357.000000, 0.016823
356.000000, 0.017252
355.000000, 0.017616
354.000000, 0.017762
353.000000, 0.017747
352.000000, 0.017317
351.000000, 0.016829
350.000000, 0.016203
349.000000, 0.015566
348.000000, 0.015034
347.000000, 0.014237
346.000000, 0.013518
345.000000, 0.012932
344.000000, 0.012505
343.000000, 0.012032
342.000000, 0.011489
341.000000, 0.011281
340.000000, 0.011017
339.000000, 0.010544
338.000000, 0.010274
337.000000, 0.009929
336.000000, 0.009337
335.000000, 0.008912
334.000000, 0.008589
333.000000, 0.008248
332.000000, 0.008178
331.000000, 0.007931
330.000000, 0.007686
329.000000, 0.007637
328.000000, 0.007768
327.000000, 0.008168
326.000000, 0.008664
325.000000, 0.008957
324.000000, 0.009598
323.000000, 0.010525
322.000000, 0.011354
321.000000, 0.012466
320.000000, 0.013674
319.000000, 0.015012
318.000000, 0.016602
317.000000, 0.018434
316.000000, 0.020171
315.000000, 0.021850
314.000000, 0.023585
313.000000, 0.025348
312.000000, 0.026753
311.000000, 0.027982
310.000000, 0.029169
309.000000, 0.030106
308.000000, 0.030470
307.000000, 0.030754
306.000000, 0.031061
305.000000, 0.031147
304.000000, 0.031429
303.000000, 0.031703
302.000000, 0.031639
301.000000, 0.031566
300.000000, 0.031568
299.000000, 0.031418
298.000000, 0.031393
297.000000, 0.031666
296.000000, 0.031706
295.000000, 0.031819
294.000000, 0.031904
293.000000, 0.032004
292.000000, 0.032293
291.000000, 0.032673
290.000000, 0.033312
289.000000, 0.033837
288.000000, 0.034176
287.000000, 0.034550
286.000000, 0.034664
285.000000, 0.034951
284.000000, 0.035161
283.000000, 0.035130
282.000000, 0.035251
281.000000, 0.034892
280.000000, 0.034772
279.000000, 0.034582
278.000000, 0.034133
277.000000, 0.034019
276.000000, 0.033587
275.000000, 0.033801
274.000000, 0.034089
273.000000, 0.034674
272.000000, 0.035639
271.000000, 0.037209
270.000000, 0.039173
269.000000, 0.041657
268.000000, 0.044410
267.000000, 0.047307
266.000000, 0.050632
265.000000, 0.053925
264.000000, 0.056661
263.000000, 0.058869
262.000000, 0.060750
261.000000, 0.061663
260.000000, 0.062281
259.000000, 0.062211
258.000000, 0.062419
257.000000, 0.062092
256.000000, 0.061651
255.000000, 0.060819
254.000000, 0.059869
253.000000, 0.058324
252.000000, 0.056875
251.000000, 0.055183
250.000000, 0.053127
