nm, A
800.000000, -0.001361
799.000000, -0.001062
798.000000, -0.000568
797.000000, -0.000400
796.000000, -0.000865
795.000000, -0.000260
794.000000, -0.000636
793.000000, -0.000213
792.000000, -0.000091
791.000000, -0.000271
790.000000, -0.000663
789.000000, -0.000588
788.000000, -0.000440
787.000000, -0.000291
786.000000, 0.000024
785.000000, 0.000290
784.000000, -0.000411
783.000000, -0.000319
782.000000, -0.000218
781.000000, -0.000199
780.000000, -0.000618
779.000000, -0.000269
778.000000, -0.000292
777.000000, -0.000098
776.000000, -0.000013
775.000000, 0.000008
774.000000, -0.000050
773.000000, 0.000056
772.000000, -0.000105
771.000000, -0.000077
770.000000, -0.000064
769.000000, 0.000201
768.000000, -0.000262
767.000000, -0.000306
766.000000, 0.000048
765.000000, 0.000038
764.000000, 0.000066
763.000000, 0.000167
762.000000, -0.000133
761.000000, -0.000432
760.000000, -0.000075
759.000000, -0.000042
758.000000, 0.000183
757.000000, 0.000100
756.000000, -0.000108
755.000000, 0.000028
754.000000, -0.000032
753.000000, -0.000250
752.000000, -0.000650
751.000000, -0.000505
750.000000, -0.000148
749.000000, -0.000179
748.000000, 0.000100
747.000000, 0.000051
746.000000, 0.000041
745.000000, -0.000036
744.000000, 0.000143
743.000000, 0.000239
742.000000, 0.000119
741.000000, 0.000027
740.000000, 0.000197
739.000000, 0.000115
738.000000, -0.000043
737.000000, 0.000000
736.000000, -0.000084
735.000000, -0.000061
734.000000, 0.000061
733.000000, 0.000204
732.000000, 0.000159
731.000000, 0.000003
730.000000, 0.000123
729.000000, 0.000291
728.000000, 0.000183
727.000000, -0.000046
726.000000, 0.000113
725.000000, 0.000246
724.000000, 0.000027
723.000000, -0.000056
722.000000, 0.000012
721.000000, 0.000109
720.000000, 0.000066
719.000000, 0.000036
718.000000, 0.000019
717.000000, 0.000170
716.000000, 0.000295
715.000000, 0.000250
714.000000, 0.000131
713.000000, 0.000125
712.000000, 0.000218
711.000000, 0.000183
710.000000, 0.000123
709.000000, 0.000129
708.000000, 0.000217
707.000000, 0.000197
706.000000, 0.000187
705.000000, 0.000347
704.000000, 0.000432
703.000000, 0.000308
702.000000, 0.000383
701.000000, 0.000470
700.000000, 0.000336
699.000000, 0.000135
698.000000, 0.000175
697.000000, 0.000138
696.000000, 0.000046
695.000000, 0.000190
694.000000, 0.000261
693.000000, 0.000262
692.000000, 0.000433
691.000000, 0.000362
690.000000, 0.000167
689.000000, 0.000270
688.000000, 0.000328
687.000000, 0.000253
686.000000, 0.000276
685.000000, 0.000491
684.000000, 0.000522
683.000000, 0.000566
682.000000, 0.000448
681.000000, 0.000489
680.000000, 0.000630
679.000000, 0.000521
678.000000, 0.000593
677.000000, 0.000654
676.000000, 0.000606
675.000000, 0.000560
674.000000, 0.000509
673.000000, 0.000564
672.000000, 0.000547
671.000000, 0.000608
670.000000, 0.000504
669.000000, 0.000432
668.000000, 0.000461
667.000000, 0.000481
666.000000, 0.000508
665.000000, 0.000575
664.000000, 0.000549
663.000000, 0.000485
662.000000, 0.000588
661.000000, 0.000762
660.000000, 0.000703
659.000000, 0.000577
658.000000, 0.000589
657.000000, 0.000697
656.000000, 0.000638
655.000000, 0.000595
654.000000, 0.000673
653.000000, 0.000730
652.000000, 0.000451
651.000000, 0.000494
650.000000, 0.000518
649.000000, 0.000587
648.000000, 0.000443
647.000000, 0.000508
646.000000, 0.000486
645.000000, 0.000538
644.000000, 0.000454
643.000000, 0.000667
642.000000, 0.000805
641.000000, 0.000708
640.000000, 0.000737
639.000000, 0.000657
638.000000, 0.000551
637.000000, 0.000496
636.000000, 0.000437
635.000000, 0.000538
634.000000, 0.000532
633.000000, 0.000323
632.000000, 0.000499
631.000000, 0.000603
630.000000, 0.000456
629.000000, 0.000561
628.000000, 0.000510
627.000000, 0.000585
626.000000, 0.000679
625.000000, 0.000574
624.000000, 0.000672
623.000000, 0.000636
622.000000, 0.000693
621.000000, 0.000688
620.000000, 0.000845
619.000000, 0.001046
618.000000, 0.000988
617.000000, 0.000815
616.000000, 0.000918
615.000000, 0.001013
614.000000, 0.001165
613.000000, 0.001326
612.000000, 0.001441
611.000000, 0.001729
610.000000, 0.001868
609.000000, 0.002422
608.000000, 0.002600
607.000000, 0.002999
606.000000, 0.003431
605.000000, 0.003924
604.000000, 0.004501
603.000000, 0.005177
602.000000, 0.005905
601.000000, 0.006684
600.000000, 0.007668
599.000000, 0.008861
598.000000, 0.010164
597.000000, 0.011669
596.000000, 0.013754
595.000000, 0.015991
594.000000, 0.018778
593.000000, 0.021588
592.000000, 0.025092
591.000000, 0.029061
590.000000, 0.033850
589.000000, 0.039312
588.000000, 0.045531
587.000000, 0.052690
586.000000, 0.060967
585.000000, 0.070516
584.000000, 0.081690
583.000000, 0.094310
582.000000, 0.108522
581.000000, 0.124928
580.000000, 0.143483
579.000000, 0.163710
578.000000, 0.186970
577.000000, 0.213157
576.000000, 0.242074
575.000000, 0.273834
574.000000, 0.308743
573.000000, 0.346223
572.000000, 0.386924
571.000000, 0.430474
570.000000, 0.475924
569.000000, 0.523743
568.000000, 0.573371
567.000000, 0.624121
566.000000, 0.675963
565.000000, 0.727465
564.000000, 0.778195
563.000000, 0.827225
562.000000, 0.874424
561.000000, 0.918823
560.000000, 0.957373
559.000000, 0.991457
558.000000, 1.019897
557.000000, 1.042695
556.000000, 1.059582
555.000000, 1.070086
554.000000, 1.074282
553.000000, 1.072405
552.000000, 1.064815
551.000000, 1.051689
550.000000, 1.034171
549.000000, 1.012019
548.000000, 0.986334
547.000000, 0.957749
546.000000, 0.926824
545.000000, 0.894065
544.000000, 0.860257
543.000000, 0.826032
542.000000, 0.791455
541.000000, 0.757062
540.000000, 0.723831
539.000000, 0.691942
538.000000, 0.661393
537.000000, 0.632219
536.000000, 0.604979
535.000000, 0.579752
534.000000, 0.556588
533.000000, 0.535664
532.000000, 0.516679
531.000000, 0.499732
530.000000, 0.484870
529.000000, 0.472026
528.000000, 0.460960
527.000000, 0.451403
526.000000, 0.443142
525.000000, 0.436064
524.000000, 0.429864
523.000000, 0.424123
522.000000, 0.418676
521.000000, 0.413728
520.000000, 0.408837
519.000000, 0.403588
518.000000, 0.398045
517.000000, 0.392074
516.000000, 0.385364
515.000000, 0.377721
514.000000, 0.369322
513.000000, 0.360397
512.000000, 0.350583
511.000000, 0.339904
510.000000, 0.328606
509.000000, 0.316890
508.000000, 0.304855
507.000000, 0.292333
506.000000, 0.279581
505.000000, 0.266733
504.000000, 0.253853
503.000000, 0.241216
502.000000, 0.228884
501.000000, 0.216971
500.000000, 0.205415
499.000000, 0.194465
498.000000, 0.184126
497.000000, 0.174247
496.000000, 0.164952
495.000000, 0.156166
494.000000, 0.147952
493.000000, 0.140378
492.000000, 0.133449
491.000000, 0.127033
490.000000, 0.121020
489.000000, 0.115565
488.000000, 0.110516
487.000000, 0.105681
486.000000, 0.101236
485.000000, 0.097014
484.000000, 0.093067
483.000000, 0.089301
482.000000, 0.085707
481.000000, 0.082142
480.000000, 0.078878
479.000000, 0.075772
478.000000, 0.072415
477.000000, 0.069239
476.000000, 0.066054
475.000000, 0.062898
474.000000, 0.059781
473.000000, 0.056805
472.000000, 0.053863
471.000000, 0.051108
470.000000, 0.048396
469.000000, 0.045688
468.000000, 0.043115
467.000000, 0.040784
466.000000, 0.038486
465.000000, 0.036383
464.000000, 0.034319
463.000000, 0.032257
462.000000, 0.030327
461.000000, 0.028613
460.000000, 0.027171
459.000000, 0.025823
458.000000, 0.024554
457.000000, 0.023270
456.000000, 0.022031
455.000000, 0.020978
454.000000, 0.020047
453.000000, 0.019250
452.000000, 0.018488
451.000000, 0.017888
450.000000, 0.017330
449.000000, 0.016780
448.000000, 0.016434
447.000000, 0.016195
446.000000, 0.016049
445.000000, 0.015801
444.000000, 0.015965
443.000000, 0.016033
442.000000, 0.016180
441.000000, 0.016659
440.000000, 0.017194
439.000000, 0.017557
438.000000, 0.018095
437.000000, 0.018777
436.000000, 0.019566
435.000000, 0.020406
434.000000, 0.020835
433.000000, 0.021476
432.000000, 0.022575
431.000000, 0.023573
430.000000, 0.024265
429.000000, 0.025388
428.000000, 0.026195
427.000000, 0.026912
426.000000, 0.027823
425.000000, 0.028563
424.000000, 0.028924
423.000000, 0.029526
422.000000, 0.030032
421.000000, 0.030398
420.000000, 0.030876
419.000000, 0.031082
418.000000, 0.031541
417.000000, 0.031879
416.000000, 0.032030
415.000000, 0.032103
414.000000, 0.032386
413.000000, 0.032577
412.000000, 0.032624
411.000000, 0.032922
410.000000, 0.033127
409.000000, 0.033436
408.000000, 0.033696
407.000000, 0.033940
406.000000, 0.034309
405.000000, 0.034706
404.000000, 0.034903
403.000000, 0.034912
402.000000, 0.035076
401.000000, 0.035223
400.000000, 0.035285
399.000000, 0.035268
398.000000, 0.034922
397.000000, 0.034776
396.000000, 0.034535
395.000000, 0.034083
394.000000, 0.033485
393.000000, 0.033005
392.000000, 0.032553
391.000000, 0.031738
390.000000, 0.031106
389.000000, 0.030399
388.000000, 0.029704
387.000000, 0.028973
386.000000, 0.028320
385.000000, 0.027982
384.000000, 0.027608
383.000000, 0.027130
382.000000, 0.026875
381.000000, 0.026670
380.000000, 0.026536
379.000000, 0.026428
378.000000, 0.026731
377.000000, 0.026612
376.000000, 0.025798
375.000000, 0.026318
374.000000, 0.027416
373.000000, 0.028779
372.000000, 0.030259
371.000000, 0.032155
370.000000, 0.034336
369.000000, 0.037088
368.000000, 0.040047
367.000000, 0.043204
366.000000, 0.046688
365.000000, 0.050755
364.000000, 0.054955
363.000000, 0.059374
362.000000, 0.063937
361.000000, 0.068460
360.000000, 0.072710
359.000000, 0.076767
358.000000, 0.080555
357.000000, 0.083932
356.000000, 0.086165
355.000000, 0.087691
354.000000, 0.088417
353.000000, 0.088249
352.000000, 0.086828
351.000000, 0.084605
350.000000, 0.081563
349.000000, 0.078119
348.000000, 0.074705
347.000000, 0.070972
346.000000, 0.067503
345.000000, 0.064227
344.000000, 0.061333
343.000000, 0.059028
342.000000, 0.056734
341.000000, 0.054788
340.000000, 0.053145
339.000000, 0.051438
338.000000, 0.049513
337.000000, 0.047552
336.000000, 0.045553
335.000000, 0.043476
334.000000, 0.041475
333.000000, 0.039914
332.000000, 0.038555
331.000000, 0.037407
330.000000, 0.036781
329.000000, 0.036740
328.000000, 0.037285
327.000000, 0.038549
326.000000, 0.040415
325.000000, 0.042753
324.000000, 0.045870
323.000000, 0.049825
322.000000, 0.054539
321.000000, 0.059760
320.000000, 0.065367
319.000000, 0.071981
318.000000, 0.079343
317.000000, 0.087228
316.000000, 0.095260
315.000000, 0.103561
314.000000, 0.111951
313.000000, 0.119744
312.000000, 0.126953
311.000000, 0.133284
310.000000, 0.138402
309.000000, 0.142588
308.000000, 0.145767
307.000000, 0.148119
306.000000, 0.149491
305.000000, 0.150202
304.000000, 0.150866
303.000000, 0.151192
302.000000, 0.151100
301.000000, 0.151080
300.000000, 0.151112
299.000000, 0.151014
298.000000, 0.151044
297.000000, 0.151494
296.000000, 0.151994
295.000000, 0.152575
294.000000, 0.153449
293.000000, 0.154374
292.000000, 0.155998
291.000000, 0.157988
290.000000, 0.160484
289.000000, 0.162843
288.000000, 0.165246
287.000000, 0.167782
286.000000, 0.169962
285.000000, 0.171756
284.000000, 0.173394
283.000000, 0.174145
282.000000, 0.174564
281.000000, 0.174162
280.000000, 0.173385
279.000000, 0.172748
278.000000, 0.171560
277.000000, 0.170984
276.000000, 0.170680
275.000000, 0.171429
274.000000, 0.173517
273.000000, 0.176633
272.000000, 0.181892
271.000000, 0.189056
270.000000, 0.198794
269.000000, 0.210455
268.000000, 0.224095
267.000000, 0.239158
266.000000, 0.254772
265.000000, 0.269524
264.000000, 0.282861
263.000000, 0.293456
262.000000, 0.301766
261.000000, 0.307134
260.000000, 0.310083
259.000000, 0.310936
258.000000, 0.310678
257.000000, 0.309390
256.000000, 0.306678
255.000000, 0.303381
254.000000, 0.298717
253.000000, 0.292437
252.000000, 0.285061
251.000000, 0.276914
250.000000, 0.268561
